,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
25507,251,0.011194880000402918,4.0,25571.0,31,1000,31
25508,252,0.011261575000389712,4.0,25572.0,31,1000,31
25509,253,0.011330373999953736,4.0,25573.0,31,1000,31
25510,254,0.011399533000258089,4.0,25574.0,31,1000,31
25511,255,0.011468403000435501,4.0,25575.0,31,1000,31
25512,256,0.011535728999660932,4.0,25576.0,31,1000,31
25513,257,0.01159719400038739,4.0,25577.0,31,1000,31
25514,258,0.011659851999866078,4.0,25578.0,31,1000,31
25515,259,0.011721908000254189,4.0,25579.0,31,1000,31
25516,260,0.011795035000432108,4.0,25580.0,31,1000,31
25517,261,0.011866939999890747,4.0,25581.0,31,1000,31
25518,262,0.011933445000067877,4.0,25582.0,31,1000,31
25519,263,0.01200826500007679,4.0,25583.0,31,1000,31
25520,264,0.012082664999979897,4.0,25584.0,31,1000,31
25521,265,0.012144090000219876,4.0,25585.0,31,1000,31
25522,266,0.012211025999931735,4.0,25586.0,31,1000,31
25523,267,0.012282349999622966,4.0,25587.0,31,1000,31
25524,268,0.012355957999716338,4.0,25588.0,31,1000,31
25525,269,0.01243333300044469,4.0,25589.0,31,1000,31
25526,270,0.012507542000093963,4.0,25590.0,31,1000,31
25527,271,0.012579105999975582,4.0,25591.0,31,1000,31
25528,272,0.012646922999920207,4.0,25592.0,31,1000,31
25529,273,0.012715251999907196,4.0,25593.0,31,1000,31
25530,274,0.01279258700014907,4.0,25594.0,31,1000,31
25531,275,0.012870182000369823,4.0,25595.0,31,1000,31
25532,276,0.01294544299980771,4.0,25596.0,31,1000,31
25533,277,0.01302151599975332,4.0,25597.0,31,1000,31
25534,278,0.013095485000121698,4.0,25598.0,31,1000,31
25535,279,0.013170786000046064,4.0,25599.0,31,1000,31
25536,280,0.013250525999865204,4.0,25600.0,31,1000,31
25537,281,0.013327720000233967,4.0,25601.0,31,1000,31
25538,282,0.013404565000200819,4.0,25602.0,31,1000,31
25539,283,0.013483493000421731,4.0,25603.0,31,1000,31
25540,284,0.013557180999669072,4.0,25604.0,31,1000,31
25541,285,0.013625438999952166,5.0,25606.0,31,1000,31
25542,286,0.013694148000467976,5.0,25607.0,31,1000,31
25543,287,0.013767856000413303,5.0,25608.0,31,1000,31
25544,288,0.013842436000231828,5.0,25609.0,31,1000,31
25545,289,0.01392014199973346,5.0,25610.0,31,1000,31
25546,290,0.013993239000228641,5.0,25611.0,31,1000,31
25547,291,0.014067508000152884,5.0,25612.0,31,1000,31
25548,292,0.014143129999865778,5.0,25613.0,31,1000,31
25549,293,0.01421968399972684,5.0,25614.0,31,1000,31
25550,294,0.014297198999884131,5.0,25615.0,31,1000,31
25551,295,0.014373291999618232,5.0,25616.0,31,1000,31
25552,296,0.014446678999775031,5.0,25617.0,31,1000,31
25553,297,0.014511530999698152,5.0,25618.0,31,1000,31
25554,298,0.014590097999644058,5.0,25619.0,31,1000,31
25555,299,0.01466856499973801,5.0,25620.0,31,1000,31
25556,300,0.014742794999619946,5.0,25621.0,31,1000,31
25557,301,0.014812024999628193,5.0,25622.0,31,1000,31
25558,302,0.014883939000355895,5.0,25623.0,31,1000,31
25559,303,0.014959981999709271,5.0,25624.0,31,1000,31
25560,304,0.015034602000014274,5.0,25625.0,31,1000,31
25561,305,0.015113821000340977,5.0,25626.0,31,1000,31
25562,306,0.015190995000011753,5.0,25627.0,31,1000,31
25563,307,0.01526664700031688,5.0,25628.0,31,1000,31
25564,308,0.01534083600017766,5.0,25629.0,31,1000,31
25565,309,0.015427829999680398,5.0,25630.0,31,1000,31
25566,310,0.015506527000070491,5.0,25631.0,31,1000,31
25567,311,0.015584292999847094,5.0,25632.0,31,1000,31
25568,312,0.015673249999963446,5.0,25633.0,31,1000,31
25569,313,0.01575673699971958,5.0,25634.0,31,1000,31
25570,314,0.015837328000088746,5.0,25635.0,31,1000,31
25571,315,0.01591520399961155,5.0,25636.0,31,1000,31
25572,316,0.01599616600014997,5.0,25637.0,31,1000,31
25573,317,0.01607854000030784,5.0,25638.0,31,1000,31
25574,318,0.016163209000296774,5.0,25639.0,31,1000,31
25575,319,0.016249059999609017,5.0,25640.0,31,1000,31
25576,320,0.01633475099970383,5.0,25641.0,31,1000,31
25577,321,0.016418828000496433,5.0,25642.0,31,1000,31
25578,322,0.01650235499982955,5.0,25643.0,31,1000,31
